"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"SELVIRIA",0,0,0,0,5,0,0,0,5,11,6482,"MS"
"SENADOR ALEXANDRE COSTA",0,0,0,0,0,0,0,0,0,10,11042,"MA"
"SENADOR POMPEU",0,0,0,0,0,0,0,0,0,5,26447,"CE"
"SENADOR SA",0,0,0,0,0,0,0,0,0,3,7513,"CE"
"SENHORA DOS REMEDIOS",0,0,0,0,0,0,0,0,0,2,10622,"MG"
"SENTO SE",0,0,0,0,0,0,0,0,0,2,41891,"BA"
"SERRA DA RAIZ",0,0,0,0,0,0,0,0,0,1,3121,"PB"
"SERRA DO MEL",0,0,0,0,0,0,0,0,0,1,11838,"RN"
"SERRANOPOLIS",0,0,0,0,0,0,0,0,0,5,8323,"GO"
"SERRINHA",0,0,0,0,0,0,0,0,0,82,6422,"RN"
"SERTAO",0,0,0,0,0,0,0,0,0,4,6065,"RS"
"SERTAOZINHO",0,0,0,0,0,0,0,0,0,2,5044,"PB"
"SEVERINIA",0,0,0,0,0,0,0,0,0,73,17115,"SP"
"SILVANOPOLIS",0,0,0,0,0,0,0,0,0,12,5399,"TO"
"SILVEIRA MARTINS",0,0,0,0,0,0,0,0,0,2,2481,"RS"
"SINIMBU",0,0,0,0,0,0,0,0,0,1,10408,"RS"
"SINOP",0,0,0,0,0,0,0,0,0,4,135874,"MT"
"SITIO NOVO",0,0,0,0,0,0,0,0,0,12,17851,"MA"
"SOBRADINHO",0,0,0,0,0,0,0,0,0,7,23713,"BA"
"SOBRAL",0,0,0,0,0,0,0,0,0,4,205529,"CE"
"SOLONOPOLE",0,0,0,0,0,0,0,0,0,5,18158,"CE"
"SOMBRIO",0,0,0,0,0,0,0,0,0,12,29710,"SC"
"SORRISO",0,0,0,0,0,0,0,0,0,13,85223,"MT"
"TABAI",0,0,0,0,0,0,0,0,0,1,4526,"RS"
"TABAPORA",0,0,0,0,0,0,0,0,0,3,9309,"MT"
"TABULEIRO DO NORTE",0,0,0,0,0,0,0,0,0,5,30489,"CE"
"TAIO",0,0,0,0,0,0,0,0,0,8,18261,"SC"
"TAMBORIL",0,0,0,0,0,0,0,0,0,4,25525,"CE"
"TANGARA",0,0,0,0,0,0,0,0,0,36,15866,"RN"
"TANGARA DA SERRA",0,0,0,0,0,0,0,0,0,3,98828,"MT"
"TAPURAH",0,0,0,5,0,0,0,0,5,5,12967,"MT"
"TAQUARAL",0,0,0,0,0,0,0,0,0,8,2823,"SP"
"TARRAFAS",0,0,0,0,0,0,0,0,0,4,8852,"CE"
"TAUA",0,0,0,0,0,0,0,0,0,5,58119,"CE"
"TEJUCUOCA",0,0,0,0,0,0,0,0,0,4,18902,"CE"
"TENENTE LAURENTINO CRUZ",0,0,0,0,0,0,0,0,0,15,5912,"RN"
"TEOFILO OTONI",0,0,0,0,0,0,0,0,0,2,141934,"MG"
"TERESINA",0,0,0,0,0,0,0,0,0,56,850198,"PI"
"TERESOPOLIS",0,0,0,0,0,0,0,0,0,25,176060,"RJ"
"TERRA NOVA DO NORTE",0,0,0,0,0,0,0,0,0,3,9606,"MT"
"TIANGUA",0,0,0,0,0,0,0,0,0,3,74719,"CE"
"TIBAU DO SUL",0,0,0,0,0,0,0,0,0,62,13895,"RN"
"TIMOTEO",0,0,0,0,0,0,0,0,0,1,88931,"MG"
"TIO HUGO",0,0,0,0,0,0,0,0,0,2,2946,"RS"
"TOCANTINIA",0,0,0,0,0,0,0,0,0,10,7460,"TO"
"TRACUATEUA",0,0,0,0,0,0,0,0,0,4,30108,"PA"
"TRAIRI",0,0,0,0,0,0,0,0,0,5,55207,"CE"
"TRAJANO DE MORAES",0,0,0,0,0,0,0,0,0,19,10352,"RJ"
"TRAVESSEIRO",0,0,0,0,0,0,0,0,0,1,2391,"RS"
"TRES PASSOS",0,0,0,0,0,0,0,0,0,3,24632,"RS"
"TROMBUDO CENTRAL",0,0,0,0,0,0,0,0,0,1,7211,"SC"
"TUMIRITINGA",0,0,0,0,0,0,0,0,0,28,6739,"MG"
"TUNAS",0,0,0,0,0,0,0,0,0,2,4604,"RS"
"TUPANCIRETA",0,0,0,0,0,0,0,0,0,4,23705,"RS"
"TURIACU",0,0,0,0,0,0,0,0,0,3,35063,"MA"
"TURURU",0,0,0,0,0,0,0,0,0,5,15935,"CE"
"UBA",0,0,0,0,0,0,0,0,0,2,113300,"MG"
"UBAJARA",0,0,0,0,0,0,0,0,0,4,34332,"CE"
"UBERABA",0,0,0,0,0,0,0,0,0,1,328272,"MG"
"UIRAMUTA",0,0,0,0,0,0,0,0,0,2,9836,"RR"
"ULIANOPOLIS",0,0,0,0,0,0,0,0,0,2,57525,"PA"
"UMARI",0,0,0,0,0,0,0,0,0,4,7671,"CE"
"UMIRIM",0,0,0,0,0,0,0,0,0,5,19679,"CE"
"UNAI",0,0,0,0,0,0,0,0,0,2,83980,"MG"
"UNIAO",0,0,0,0,0,0,0,0,0,2,43761,"PI"
"URUBURETAMA",0,0,0,0,0,0,0,0,0,66,21609,"CE"
"URUCUI",0,0,0,0,0,0,0,0,0,5,21188,"PI"
"URUGUAIANA",0,0,0,0,0,0,0,0,0,1,129784,"RS"
"URUOCA",0,0,0,0,0,0,0,0,0,3,13677,"CE"
"VALE DO SOL",0,1,0,0,0,0,0,0,1,1,11727,"RS"
"VARGEM GRANDE",0,0,0,0,0,0,0,0,0,16,56511,"MA"
"VARJOTA",0,0,0,0,0,0,0,0,0,5,18239,"CE"
"VARRE-SAI",0,0,0,0,0,0,0,0,0,2,10597,"RJ"
"VARZEA ALEGRE",0,0,0,0,0,0,0,0,0,5,40440,"CE"
"VARZEA DA PALMA",0,0,0,0,0,0,0,0,0,2,39128,"MG"
"VARZEA GRANDE",0,0,0,0,0,0,0,0,0,4,4325,"PI"
"VENANCIO AIRES",0,0,0,0,0,0,0,0,0,1,70481,"RS"
"VENDA NOVA DO IMIGRANTE",0,0,0,0,0,0,0,0,0,2,24575,"ES"
"VERA CRUZ",0,0,0,0,0,0,0,0,0,5,12371,"RN"
"VICOSA",0,0,0,0,0,0,0,0,0,9,1731,"RN"
"VICOSA DO CEARA",0,0,0,0,0,0,0,0,0,3,60030,"CE"
"VICTOR GRAEFF",0,0,0,0,0,0,0,0,0,2,3051,"RS"
"VIDAL RAMOS",0,0,0,0,0,0,0,0,0,2,6356,"SC"
"VILA BELA DA SANTISSIMA TRINDADE",0,0,0,0,0,0,0,0,0,2,15534,"MT"
"VITORIA DA CONQUISTA",0,0,0,0,0,0,0,0,0,3,348718,"BA"
"VITORIA DE SANTO ANTAO",0,0,0,0,0,0,0,0,0,2,137578,"PE"
"XANXERE",0,0,0,0,0,0,0,0,0,16,49738,"SC"
"ZE DOCA",0,0,0,0,0,0,0,0,0,9,51084,"MA"
