"Município",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"CANTO DO BURITI",0,0,0,0,0,0,0,0,0,2,20831,"PI"
"CANUDOS",0,0,0,0,0,0,0,0,0,2,17316,"BA"
"CAPAO DA CANOA",0,0,0,0,0,0,0,0,0,4,48401,"RS"
"CAPAO DO CIPO",0,0,0,0,0,0,0,0,0,4,3449,"RS"
"CAPARAO",0,0,0,0,0,0,0,0,0,2,5489,"MG"
"CAPELA",0,0,0,0,0,0,0,0,0,1,17354,"AL"
"CAPISTRANO",0,0,0,0,0,0,0,0,0,5,17668,"CE"
"CARACARAI",0,0,0,0,0,0,0,0,0,5,20807,"RR"
"CARANDAI",0,0,0,0,0,0,0,0,0,2,25376,"MG"
"CARATINGA",0,0,0,0,0,0,0,0,0,2,91841,"MG"
"CARIDADE",0,0,0,0,0,0,0,0,0,5,22320,"CE"
"CARIDADE DO PIAUI",0,0,0,0,0,0,0,0,0,3,4982,"PI"
"CARIRE",0,0,0,0,0,0,0,0,0,4,18660,"CE"
"CARIRIACU",0,0,0,0,0,0,0,0,0,4,26892,"CE"
"CARIUS",0,0,0,0,0,0,0,0,0,4,18804,"CE"
"CARNAUBAL",0,0,0,0,0,0,0,0,0,4,17631,"CE"
"CAROEBE",0,0,0,0,0,0,0,0,0,4,9493,"RR"
"CAROLINA",0,0,0,0,0,0,0,0,0,1,23803,"MA"
"CASA GRANDE",0,0,0,0,0,0,0,0,0,4,2309,"MG"
"CASCAVEL",0,0,0,0,0,0,0,0,0,26,71079,"CE"
"CASINHAS",0,0,0,0,0,0,0,0,0,1,14274,"PE"
"CASSIA",0,0,0,0,0,0,0,0,0,2,18057,"MG"
"CASSILANDIA",0,0,0,0,0,0,0,0,0,12,21748,"MS"
"CATAGUASES",0,0,0,0,0,0,0,0,0,2,75025,"MG"
"CATALAO",0,0,0,0,0,0,0,0,0,11,102393,"GO"
"CATARINA",0,0,0,0,0,0,0,0,0,4,20451,"CE"
"CATUNDA",0,0,0,0,0,0,0,0,0,3,10365,"CE"
"CAUCAIA",0,0,0,0,0,0,0,0,0,5,362223,"CE"
"CAXIAS",0,0,0,0,0,0,0,0,0,6,162657,"MA"
"CEDRAL",0,0,0,0,0,0,0,0,0,5,10490,"MA"
"CEDRO",0,0,0,0,0,0,0,0,0,4,25063,"CE"
"CENTRO NOVO DO MARANHAO",0,0,0,0,0,0,0,0,0,9,21565,"MA"
"CHA GRANDE",0,0,0,0,0,0,0,0,0,6,21525,"PE"
"CHAPADA DOS GUIMARAES",0,0,0,0,0,0,0,0,0,2,19049,"MT"
"CHAPADAO DO CEU",0,0,0,0,0,0,0,0,0,6,9110,"GO"
"CHAPADAO DO SUL",0,0,0,0,0,0,0,0,0,15,23940,"MS"
"CHAPADINHA",0,0,0,0,0,0,0,0,0,1,78965,"MA"
"CHARQUEADAS",0,0,0,0,0,0,0,0,0,3,38899,"RS"
"CHARRUA",0,0,0,0,0,0,0,0,0,1,3482,"RS"
"CHAVAL",0,0,0,0,0,0,0,0,0,4,12952,"CE"
"CHORO",0,0,0,0,0,0,0,0,0,4,13384,"CE"
"CHOROZINHO",0,0,0,0,0,0,0,0,0,5,19197,"CE"
"COELHO NETO",0,0,0,0,0,0,0,0,0,9,48756,"MA"
"COITE DO NOIA",0,0,0,0,0,0,0,0,0,3,10888,"AL"
"COLMEIA",0,0,0,0,0,0,0,0,0,39,8409,"TO"
"COMODORO",0,0,0,0,0,0,0,0,0,4,19932,"MT"
"CONDADO",0,0,0,0,0,0,0,0,0,2,6753,"PB"
"CONDE",0,0,0,0,0,0,0,0,0,8,24769,"PB"
"CONFINS",0,0,0,0,0,0,0,0,0,1,6608,"MG"
"CONGONHAS",0,0,0,0,0,0,0,0,0,2,53843,"MG"
"COQUEIRO BAIXO",0,0,0,0,0,0,0,0,0,1,1559,"RS"
"COREAU",0,0,0,0,0,0,0,0,0,2,23107,"CE"
"COREMAS",0,0,0,0,0,0,0,0,0,3,15426,"PB"
"CORONEL FABRICIANO",0,0,0,0,0,0,0,0,0,2,110326,"MG"
"CORONEL JOSE DIAS",0,0,0,0,0,0,0,0,0,4,4608,"PI"
"CORONEL PILAR",0,0,0,0,0,0,0,0,0,1,1728,"RS"
"CORRENTE",0,0,0,0,0,0,0,0,0,3,26205,"PI"
"COSTA RICA",0,0,0,0,0,0,0,0,0,8,20159,"MS"
"COXILHA",0,0,0,0,0,0,0,0,0,4,2876,"RS"
"CRATEUS",0,0,0,0,0,0,0,0,0,5,74426,"CE"
"CRATO",0,0,0,0,0,0,0,0,0,4,130604,"CE"
"CRICIUMA",0,0,0,0,0,0,0,0,0,1,211369,"SC"
"CRISTALANDIA",0,0,0,0,0,0,0,0,0,19,7374,"TO"
"CRISTINO CASTRO",0,0,0,0,0,0,0,0,0,3,10253,"PI"
"CROATA",0,0,0,0,0,0,0,0,0,5,17874,"CE"
"CRUZ",0,0,0,0,0,0,0,0,0,5,23983,"CE"
"CRUZALTENSE",0,0,0,0,0,0,0,0,0,1,2059,"RS"
"CRUZEIRO DO SUL",0,0,0,0,0,0,0,0,0,2,82622,"AC"
"CRUZETA",0,0,0,0,0,0,0,0,0,26,8147,"RN"
"CUIABA",0,0,0,0,0,0,0,0,0,6,590118,"MT"
"CURITIBA",0,0,0,0,0,0,5,0,5,104,1908359,"PR"
"CURITIBANOS",0,0,0,0,0,0,0,0,0,2,39566,"SC"
"CURRAIS NOVOS",0,0,0,0,0,0,0,0,0,49,45228,"RN"
"CURRAL NOVO DO PIAUI",0,0,0,0,0,0,0,0,0,3,5251,"PI"
"CURVELO",0,0,0,0,0,0,0,0,0,1,79878,"MG"
"DAVID CANABARRO",0,0,0,0,0,0,0,0,0,1,4844,"RS"
"DEPUTADO IRAPUAN PINHEIRO",0,0,0,0,0,0,0,0,0,4,9521,"CE"
"DIAMANTINO",0,0,0,0,0,0,0,0,0,6,21294,"MT"
"DIANOPOLIS",0,0,0,0,0,0,0,0,0,65,21738,"TO"
"DIRCEU ARCOVERDE",0,0,0,0,0,0,0,0,0,3,6896,"PI"
"DIVINOLANDIA",0,0,0,0,1,0,0,0,1,2,11384,"SP"
"DOM AQUINO",0,0,0,0,0,0,0,0,0,2,7977,"MT"
"DOM PEDRITO",0,0,0,0,0,0,0,0,0,4,39822,"RS"
"DOM PEDRO",0,0,0,0,0,0,0,0,0,10,22912,"MA"
"DONA FRANCISCA",0,0,0,0,0,0,0,0,0,3,3331,"RS"
"DOURADOS",0,0,0,0,0,0,0,0,0,26,218069,"MS"
"DOVERLANDIA",0,0,0,0,0,0,0,0,0,2,7750,"GO"
"DRACENA",0,0,0,1,0,4,0,0,5,16,46324,"SP"
"DUAS ESTRADAS",0,0,0,0,0,0,0,0,0,4,3594,"PB"
"DUQUE BACELAR",0,0,0,0,0,0,0,0,0,8,11208,"MA"
"ENCRUZILHADA DO SUL",0,0,0,0,0,0,0,0,0,1,25872,"RS"
"ERECHIM",0,0,0,0,0,0,0,0,0,1,103437,"RS"
"ERERE",0,0,0,0,0,0,0,0,0,3,7163,"CE"
"ESMERALDAS",0,0,0,0,0,0,0,0,0,1,69010,"MG"
"ESPERANCA DO SUL",0,0,0,0,0,0,0,0,0,1,3204,"RS"
"ESPUMOSO",0,0,0,0,0,0,0,0,0,5,15843,"RS"
"ESTRELA DE ALAGOAS",0,0,0,0,0,0,0,0,0,3,18435,"AL"
"EUSEBIO",0,0,0,0,0,0,0,0,0,6,52667,"CE"
"EXTREMOZ",0,0,0,0,0,0,0,0,0,279,28331,"RN"
"FAINA",0,0,0,0,0,0,0,0,0,1,6947,"GO"
"FARIAS BRITO",0,0,0,0,0,0,0,0,0,4,18720,"CE"
"FELIZ NATAL",0,0,0,0,0,0,0,0,0,2,13451,"MT"
"FIGUEIROPOLIS",0,0,0,0,0,0,0,0,0,19,5352,"TO"
"FLEXEIRAS",0,0,0,0,0,0,0,0,0,4,12966,"AL"
"FLORANIA",0,0,0,0,0,0,0,0,0,12,9262,"RN"
"FLORIANO",0,0,0,0,0,0,0,0,0,4,58969,"PI"
"FLORIANO PEIXOTO",0,0,0,0,0,0,0,0,0,1,1958,"RS"
"FLORIANOPOLIS",0,0,0,0,0,0,0,0,0,58,485838,"SC"
"FORMOSA DA SERRA NEGRA",0,0,0,0,0,0,0,0,0,3,18997,"MA"
"FORMOSA DO RIO PRETO",0,0,0,0,0,0,0,0,0,4,25912,"BA"
"FORMOSO DO ARAGUAIA",0,0,0,0,0,0,0,0,0,39,18684,"TO"
"FORQUILHA",0,0,0,0,0,0,0,0,0,4,24047,"CE"
"FORTALEZA",0,0,0,0,0,0,0,0,0,5,2627482,"CE"
"FORTIM",0,0,0,0,0,0,0,0,0,4,16272,"CE"
"FRANCISCO MACEDO",0,0,0,0,0,0,0,0,0,3,3128,"PI"
"FRANCISCO MORATO",0,0,0,0,0,0,0,0,0,86,171602,"SP"
"FRANCISCO SA",0,0,0,0,0,0,0,0,0,1,26428,"MG"
"FRECHEIRINHA",0,0,0,0,0,0,0,0,0,3,13669,"CE"
"FREDERICO WESTPHALEN",0,0,0,0,0,0,0,0,0,3,30832,"RS"
"FRONTEIRAS",0,0,0,0,0,0,0,0,0,7,11432,"PI"
"GALILEIA",0,0,0,0,0,0,0,0,0,32,7034,"MG"
"GAROPABA",0,0,0,0,0,0,0,0,0,3,22082,"SC"
"GASPAR",0,0,0,0,0,0,0,0,0,6,67392,"SC"
"GENERAL SAMPAIO",0,0,0,0,0,0,0,0,0,3,6922,"CE"
