"NOME_MUNICIPIO",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF"
"ARRAIAS",0,0,0,0,0,0,0,0,0,5,10727,"TO"
"ARROIO DO MEIO",0,0,0,0,0,0,0,2,2,2,20272,"RS"
"ARROIO DO TIGRE",0,0,0,0,0,0,0,0,0,1,13388,"RS"
"ARROIO DOS RATOS",0,0,0,0,0,0,0,0,0,2,14255,"RS"
"ARROIO GRANDE",0,0,0,0,0,0,0,0,0,6,18922,"RS"
"ARROIO TRINTA",0,0,0,0,2,0,0,0,2,3,3564,"SC"
"ARTUR NOGUEIRA",1,0,0,0,0,0,13,0,14,41,51986,"SP"
"ARUANA",0,0,0,0,0,0,0,8,8,13,9138,"GO"
"ARUJA",0,0,0,0,0,0,0,0,0,3,86430,"SP"
"ARVOREZINHA",0,0,0,0,0,0,0,0,0,5,10614,"RS"
"ASCURRA",0,0,0,0,0,0,0,0,0,11,7877,"SC"
"ASPASIA",0,0,0,0,0,0,3,2,5,6,1842,"SP"
"ASSAI",0,0,0,0,0,0,0,0,0,7,15999,"PR"
"ASSIS",0,0,0,0,0,0,0,0,0,4,102924,"SP"
"ASSIS CHATEAUBRIAND",0,0,0,0,0,0,0,0,0,63,34064,"PR"
"ASTORGA",1,0,0,0,0,21,0,0,22,29,26196,"PR"
"ATALAIA",0,0,0,0,0,0,0,0,0,9,47744,"AL"
"ATALANTA",0,0,0,0,0,0,0,0,0,11,3254,"SC"
"ATIBAIA",0,0,0,0,0,0,0,0,0,17,139683,"SP"
"AUGUSTINOPOLIS",0,0,0,0,0,0,0,0,0,15,18089,"TO"
"AUREA",0,0,0,0,1,0,0,0,1,6,3718,"RS"
"AURELINO LEAL",0,0,0,2,0,0,0,0,2,2,12706,"BA"
"AURIFLAMA",0,0,0,0,0,0,0,2,2,2,15085,"SP"
"AURILANDIA",0,0,0,0,0,0,0,2,2,6,3422,"GO"
"AURORA DO TOCANTINS",0,0,0,0,0,0,0,0,0,4,3735,"TO"
"AVAI",0,0,0,0,0,0,9,3,12,12,5337,"SP"
"AVANHANDAVA",0,0,0,0,0,0,0,0,0,7,13112,"SP"
"AVARE",0,0,0,0,1,0,12,6,19,45,89479,"SP"
"AVELINOPOLIS",0,0,0,0,0,0,0,0,0,5,2494,"GO"
"BABACULANDIA",0,0,0,0,0,0,0,0,0,6,10752,"TO"
"BADY BASSITT",0,0,0,95,0,0,0,0,95,120,16843,"SP"
