"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","UF","Population","How many different pesticides over or equal to the limit?"
"SANTANA DO GARAMBEU",2,2,0,0,0,1,2,0,1,2,2,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,1,"MG",2436,12
"SAO BERNARDO DO CAMPO",7,0,0,0,0,0,6,0,4,1,1,2,1,2,0,2,0,4,0,0,0,1,0,0,6,0,0,"SP",827437,12
"SAO JOAO DO TRIUNFO",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",14927,12
"SAPOPEMA",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",6905,12
"SAUDADE DO IGUACU",0,3,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",5448,12
"TEIXEIRA SOARES",0,7,0,1,6,0,0,0,2,7,6,0,5,0,0,0,6,0,6,0,0,6,0,7,0,0,6,"PR",11834,12
"VERA CRUZ DO OESTE",0,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",8918,12
"VERE",0,3,0,3,2,0,0,0,3,3,2,0,3,0,0,0,2,0,3,0,0,3,0,3,0,0,3,"PR",7692,12
"VIRMOND",0,3,0,2,2,0,0,0,3,3,3,0,3,0,0,0,2,0,1,0,0,2,0,3,0,0,2,"PR",4095,12
"ALFREDO WAGNER",4,0,0,0,0,0,4,4,0,0,0,3,0,3,3,3,0,0,0,4,0,0,6,0,2,3,0,"SC",9960,11
"ARAUCARIA",0,12,0,0,10,0,1,0,0,12,13,0,3,0,0,0,11,0,10,0,0,11,0,11,0,0,10,"PR",137452,11
"MACHACALIS",5,0,0,0,0,0,0,1,1,2,1,4,0,1,0,0,0,1,0,0,0,0,0,1,22,1,0,"MG",7237,11
"ARVOREZINHA",1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,"RS",10614,10
"BOTUCATU",1,0,0,1,0,0,1,0,1,1,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,"SP",142546,10
"CARANDAI",0,0,0,0,0,2,0,1,0,0,0,2,2,2,2,0,0,0,2,0,2,0,0,0,3,2,0,"MG",25376,10
"MANDIRITUBA",0,3,0,0,3,0,0,0,0,3,3,0,1,0,0,0,3,0,3,0,0,3,0,3,0,0,2,"PR",25662,10
"NOVA GLORIA",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,"GO",8521,10
"RIO BRANCO DO SUL",0,2,0,0,2,0,0,0,0,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,"PR",32504,10
"TROMBUDO CENTRAL",0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,"SC",7211,10
"VALE DO SOL",1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,"RS",11727,10
"ADRIANOPOLIS",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,"PR",6254,9
"ARIRANHA DO IVAI",0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,3,0,1,0,0,3,"PR",2301,9
"BAURU",1,0,0,0,0,1,0,0,39,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,19,1,0,"SP",371690,9
