"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"JOACABA",11,14,17,14,12,11,9,11,14,14,11,9,12,9,11,8,12,12,12,12,12,12,7,15,0,9,14,29608,"SC",26
"JUQUITIBA",3,1,8,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,3,2,1,3,5,0,1,1,31027,"SP",26
"LAGARTO",29,29,20,29,29,29,29,29,29,29,29,26,29,28,29,26,29,29,29,29,29,29,29,29,0,28,29,104099,"SE",26
"LENCOIS PAULISTA",26,67,67,65,65,27,27,28,57,67,32,2,30,2,16,2,63,60,29,27,30,32,27,64,0,27,34,67185,"SP",26
"LOBATO",2,1,1,1,4,1,3,2,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,0,2,1,4751,"PR",26
"MACAUBAL",22,7,22,6,6,22,22,22,8,7,7,22,7,9,23,22,6,21,6,22,22,6,19,8,0,22,6,8086,"SP",26
"MARACAJU",3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,0,3,3,44994,"MS",26
"MARAVILHA",14,9,10,8,9,14,10,14,9,9,9,12,9,12,9,7,9,9,9,9,9,9,10,8,0,7,9,9418,"AL",26
"MARLIERIA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,4129,"MG",26
"MELEIRO",4,5,4,4,3,3,3,3,3,4,5,4,5,3,3,1,4,4,4,4,4,3,3,4,0,3,3,7047,"SC",26
"MINEIROS DO TIETE",8,10,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,12812,"SP",26
"MIRANDOPOLIS",25,10,25,10,10,25,25,25,10,10,10,24,10,23,24,25,10,25,10,25,25,10,25,10,0,25,10,29315,"SP",26
"MIRASSOLANDIA",42,23,43,23,23,43,43,43,23,23,23,43,23,41,43,43,23,43,23,43,43,23,43,42,0,43,23,4758,"SP",26
"MOGI DAS CRUZES",4,7,6,7,4,3,3,3,6,6,4,3,5,3,3,4,5,3,4,3,3,4,2,4,0,3,7,433901,"SP",26
"MOGI GUACU",12,14,14,14,14,12,12,12,13,14,13,12,14,13,12,12,14,12,14,12,13,14,12,14,0,12,14,149396,"SP",26
"MURIBECA",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,7683,"SE",26
"NEOPOLIS",11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,18953,"SE",26
"NIOAQUE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14092,"MS",26
"NOVA ALIANCA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,6733,"SP",26
"NOVA ALVORADA DO SUL",2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,0,2,2,20772,"MS",26
"NOVA INDEPENDENCIA",9,6,10,13,13,9,9,4,6,13,8,9,13,11,13,8,13,13,13,2,13,13,4,8,0,9,11,3745,"SP",26
"NOVA ODESSA",3,6,7,7,3,3,3,3,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,3,6,58227,"SP",26
"OLIMPIA",4,3,3,3,3,3,3,4,4,3,3,0,3,2,3,1,3,3,3,6,3,3,3,3,1,3,3,54037,"SP",26
"PAINEL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2376,"SC",26
"PALESTINA",17,9,9,9,9,17,18,17,10,9,6,4,16,16,16,17,17,17,17,17,17,7,17,21,0,3,9,5066,"AL",26
"PAPANDUVA",8,5,12,5,5,10,5,10,5,5,6,4,5,5,5,5,5,6,5,5,5,5,3,11,0,5,5,19015,"SC",26
"PARAGUACU",7,7,13,7,7,7,3,7,7,7,7,0,7,7,7,8,7,7,7,7,7,6,7,13,1,1,7,21583,"MG",26
"PARAIBUNA",2,2,3,3,3,2,2,2,3,3,2,1,3,2,1,1,3,2,1,2,3,3,2,3,0,1,3,18206,"SP",26
"PARANAIBA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,3,41755,"MS",26
"PARISI",4,6,9,9,8,2,2,4,6,8,6,2,7,6,6,4,7,4,4,2,4,6,2,8,0,3,8,2150,"SP",26
"PAULINIA",25,23,43,25,17,24,24,23,35,24,28,6,26,18,18,18,18,28,18,27,27,17,21,27,0,14,21,102499,"SP",26
"PEDERNEIRAS",4,20,32,22,34,5,6,2,30,23,29,4,35,5,5,5,7,15,16,4,5,33,3,28,0,4,35,45708,"SP",26
"PINHALZINHO",5,3,2,3,3,6,5,5,2,3,3,3,3,3,1,1,3,3,3,3,3,3,6,3,1,0,3,14763,"SP",26
"PIRACICABA",1,5,6,5,5,4,1,4,5,5,2,1,4,2,5,1,5,1,3,4,5,2,4,6,0,1,5,397322,"SP",26
"PIRASSUNUNGA",5,14,14,15,7,5,5,5,12,14,13,5,7,7,7,5,7,7,7,5,7,7,5,13,0,5,8,75474,"SP",26
"PLANALTO",2,1,5,1,1,3,3,3,1,1,1,2,1,2,2,2,1,3,1,0,1,1,2,3,2,2,1,26915,"BA",26
"POA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,0,2,2,115488,"SP",26
"POCO VERDE",10,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,0,9,10,23740,"SE",26
"PONTAL",48,48,48,48,48,48,48,61,48,48,48,1,48,13,14,13,48,60,14,61,61,48,18,59,0,13,48,47638,"SP",26
"PORTO ESPERIDIAO",6,6,6,5,4,3,2,7,6,6,5,3,4,4,4,2,3,3,3,3,3,4,1,6,0,4,5,11603,"MT",26
"PORTO MURTINHO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,16879,"MS",26
"PROPRIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,29834,"SE",26
"RAUL SOARES",25,13,23,7,12,25,26,12,22,7,13,11,13,6,10,4,13,23,6,23,10,13,23,14,0,10,13,24368,"MG",26
"REGENTE FEIJO",2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,0,1,2,19985,"SP",26
"RIBAS DO RIO PARDO",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,5,23881,"MS",26
"RIBEIROPOLIS",3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,18641,"SE",26
"RIO BRILHANTE",6,2,2,2,6,6,6,5,2,2,2,6,7,6,7,6,2,6,6,6,6,6,6,2,0,7,6,36144,"MS",26
"RIO GRANDE DA SERRA",2,8,10,8,12,2,3,2,12,8,12,1,12,2,2,1,4,4,6,2,2,12,2,11,0,2,12,49408,"SP",26
"ROSARIO DO CATETE",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,10699,"SE",26
"SALGADO",4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,20168,"SE",26
"SANTA RITA D'OESTE",6,6,6,10,10,6,6,11,6,6,6,0,7,12,12,12,10,11,12,11,11,1,11,12,4,5,6,2544,"SP",26
