"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"BRUSQUE",27,19,19,19,19,26,26,24,20,19,19,19,19,19,19,26,19,19,19,19,19,19,25,18,26,24,19,128818,"SC",27
"BURI",12,7,14,7,14,12,12,12,10,7,10,12,14,12,11,12,7,12,11,12,11,14,11,14,14,12,14,19737,"SP",27
"BURITAMA",9,21,46,45,8,7,1,10,21,24,7,18,8,9,8,7,7,7,7,3,19,20,8,20,21,20,21,16841,"SP",27
"BURITI ALEGRE",5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9535,"GO",27
"BURITIZEIRO",5,5,5,5,5,4,3,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,28335,"MG",27
"CABO FRIO",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,216030,"RJ",27
"CABREUVA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47877,"SP",27
"CACADOR",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,77323,"SC",27
"CACAPAVA",43,27,68,26,46,42,42,43,43,25,45,43,50,46,44,42,17,44,27,43,43,46,42,53,64,45,48,92587,"SP",27
"CACERES",3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,91271,"MT",27
"CACONDE",16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,15,15,16,19025,"SP",27
"CAIEIRAS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,98223,"SP",27
"CAJAMAR",13,13,11,12,11,11,11,14,14,13,13,13,13,13,11,11,11,11,11,11,11,11,11,14,14,11,11,73921,"SP",27
"CAJURU",5,2,4,2,3,5,5,5,4,2,3,4,3,5,5,4,2,3,3,3,3,3,5,3,5,5,3,25655,"SP",27
"CAMACARI",28,30,21,3,3,28,28,41,3,3,3,29,2,39,39,40,3,27,4,15,3,3,33,30,29,28,3,296893,"BA",27
"CAMBUI",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,29165,"MG",27
"CAMPINA GRANDE DO SUL",16,14,15,4,13,16,15,16,6,15,15,15,4,5,16,16,14,14,14,14,14,14,15,15,15,17,14,42547,"PR",27
"CAMPINAS",18,21,21,21,16,29,17,28,12,12,11,21,18,27,29,28,22,21,21,16,17,21,28,18,28,28,21,1182429,"SP",27
"CAMPO BELO DO SUL",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7177,"SC",27
"CAMPO DO TENENTE",8,6,6,6,6,8,8,8,6,6,6,8,6,8,8,8,6,6,6,6,6,6,8,5,8,8,6,7829,"PR",27
"CAMPO GRANDE",97,95,98,96,97,96,97,94,94,96,105,96,95,98,98,98,96,96,107,97,95,97,97,96,97,98,97,9692,"AL",27
"CAMPO MAGRO",8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,28244,"PR",27
"CAMPO MOURAO",2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,94153,"PR",27
"CAMPO VERDE",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,39933,"MT",27
"CAMPOS DO JORDAO",6,4,7,4,6,6,6,6,7,4,7,6,8,6,6,6,4,6,6,6,6,8,6,8,8,6,8,51454,"SP",27
"CAMPOS DOS GOYTACAZES",66,46,22,47,46,59,59,65,50,48,46,48,47,77,57,78,47,50,46,48,47,47,56,52,76,73,47,490288,"RJ",27
