"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides detected (>0ppb)?"
"SALGADO FILHO",3,2,2,2,1,2,2,3,3,2,2,3,2,3,3,3,1,1,1,1,1,1,2,2,3,3,1,4003,"PR",27
"SALTINHO",12,11,11,11,11,12,11,12,12,11,12,12,12,12,12,10,11,12,11,11,12,11,12,12,12,11,11,8019,"SP",27
"SALTO DO LONTRA",3,2,2,2,2,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,3,3,2,14713,"PR",27
"SANTA ADELIA",58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,15331,"SP",27
"SANTA ALBERTINA",4,2,6,2,6,3,3,3,5,2,5,3,6,5,3,5,1,3,3,3,3,6,3,6,6,3,6,5999,"SP",27
"SANTA BARBARA D'OESTE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,191889,"SP",27
"SANTA BRANCA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14667,"SP",27
"SANTA CARMEM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4360,"MT",27
"SANTA CECILIA",2,1,4,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,6557,"PB",27
"SANTA CLARA D'OESTE",9,8,10,8,10,8,9,10,7,8,8,9,10,9,8,9,8,9,9,9,9,10,7,10,10,7,10,2134,"SP",27
"SANTA CRUZ DAS PALMEIRAS",6,2,2,2,2,2,6,2,2,2,2,6,2,2,2,6,2,5,2,2,2,2,2,2,6,6,2,33455,"SP",27
"SANTA CRUZ DO RIO PARDO",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,47148,"SP",27
"SANTA HELENA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41891,"MA",27
"SANTA ISABEL",7,6,6,6,6,6,6,6,6,6,6,6,6,2,4,2,6,6,6,6,6,4,6,6,6,4,6,56014,"SP",27
"SANTA MARIA DA SERRA",7,2,6,2,6,6,6,7,7,2,6,5,6,6,4,5,2,6,6,6,6,6,6,7,6,6,6,6021,"SP",27
"SANTA MARIA DE JETIBA",13,13,13,13,13,13,13,13,13,13,9,9,13,6,10,13,13,13,9,13,9,13,9,12,13,10,13,39928,"ES",27
"SANTA RITA D'OESTE",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2544,"SP",27
"SANTA RITA DO PARDO",6,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,4,6,6,6,6,6,6,5,6,6,6,7732,"MS",27
"SANTA RITA DO PASSA QUATRO",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27590,"SP",27
"SANTA ROSA DE LIMA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3938,"SE",27
"SANTA ROSA DO SUL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8356,"SC",27
"SANTA SALETE",5,2,6,2,6,3,5,3,5,2,5,5,6,5,3,5,2,4,5,3,3,6,3,6,6,5,6,1536,"SP",27
"SANTA TERESA",6,3,2,2,2,3,4,6,3,1,3,6,3,2,3,4,2,2,2,2,2,2,4,2,6,4,2,24025,"ES",27
"SANTA TEREZINHA",4,3,4,3,3,4,4,4,3,3,3,4,3,4,3,2,3,3,3,3,3,3,4,3,4,2,3,11734,"PE",27
"SANTANA DA PONTE PENSA",8,6,10,6,10,9,9,8,10,5,10,9,10,8,8,8,6,9,9,9,9,10,9,10,10,9,10,1555,"SP",27
"SANTANA DE PARNAIBA",17,17,22,17,22,17,17,17,20,15,20,17,22,17,17,17,12,18,17,17,17,20,17,20,22,17,22,131887,"SP",27
"SANTIAGO DO SUL",13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,13,13,1317,"SC",27
"SANTO ANDRE",17,6,15,6,7,17,16,13,6,6,7,15,7,15,17,17,6,15,7,11,14,7,16,10,18,17,7,2519,"PB",27
"SANTO ANTONIO DE PADUA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41312,"RJ",27
"SANTO ANTONIO DO ARACANGUA",21,21,21,21,21,21,21,21,21,21,21,20,21,21,20,21,21,21,21,21,21,15,15,21,21,21,21,8285,"SP",27
"SANTO ANTONIO DO JARDIM",5,5,8,5,6,5,5,5,6,4,6,5,7,5,5,5,4,4,4,4,4,6,4,7,9,5,6,6029,"SP",27
"SANTO ANTONIO DO PINHAL",12,8,13,8,15,12,11,11,13,8,14,12,14,12,12,11,6,12,12,11,12,14,11,15,15,11,15,6800,"SP",27
"SAO BENTO DO SAPUCAI",1,2,3,2,4,1,1,1,3,2,3,1,4,1,1,1,1,1,1,1,1,4,1,3,4,1,4,10895,"SP",27
"SAO BERNARDO DO CAMPO",44,35,51,34,45,40,41,41,48,36,44,38,47,41,41,36,33,37,33,34,41,45,41,56,57,41,46,827437,"SP",27
"SAO CARLOS",8,7,8,7,7,8,7,10,7,6,9,7,7,8,9,8,7,8,8,7,8,7,8,8,11,9,6,246088,"SP",27
"SAO FELIX DO CORIBE",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15825,"BA",27
"SAO FRANCISCO",4,2,5,3,6,4,4,4,5,2,5,4,6,4,4,4,2,4,4,4,4,5,4,5,4,4,6,3363,"PB",27
"SAO FRANCISCO DO SUL",6,6,5,5,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,7,6,6,50701,"SC",27
"SAO GABRIEL",17,17,16,17,17,16,16,16,16,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,17,16,16,19613,"BA",27
"SAO JOAO BATISTA DO GLORIA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7431,"MG",27
"SAO JOAO DA BOA VISTA",11,11,16,11,11,12,12,12,10,10,11,11,11,12,10,12,10,12,11,12,12,11,12,13,14,12,11,90089,"SP",27
"SAO JOAO DAS DUAS PONTES",3,1,5,1,5,2,2,3,3,1,3,2,5,3,3,3,1,3,2,3,3,5,2,5,5,2,4,2601,"SP",27
"SAO JOAO DE IRACEMA",8,6,6,6,6,8,5,8,6,6,6,8,6,7,8,6,6,8,6,6,8,6,8,8,8,8,6,1904,"SP",27
"SAO JOAQUIM",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,26646,"SC",27
"SAO JOAQUIM DA BARRA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50921,"SP",27
"SAO JOSE DO CEDRO",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13897,"SC",27
"SAO JOSE DO RIO CLARO",6,5,3,3,4,4,3,7,5,5,5,5,3,5,6,3,4,3,4,4,3,4,3,5,6,5,3,19728,"MT",27
"SAO JOSE DO RIO PARDO",9,46,48,45,44,49,48,51,47,46,47,51,47,39,38,38,45,48,44,48,47,36,48,46,51,40,44,54734,"SP",27
"SAO JOSE DO RIO PRETO",31,31,31,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,450657,"SP",27
"SAO JOSE DOS CAMPOS",94,76,171,74,152,92,94,92,164,76,164,92,155,92,92,90,61,91,88,92,92,154,93,157,159,92,155,703219,"SP",27
"SAO LEOPOLDO",24,20,26,20,20,20,16,16,20,20,20,27,19,19,28,28,20,20,20,20,20,20,16,28,26,21,20,230914,"RS",27
"SAO LOURENCO",4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,45457,"MG",27
"SAO LUDGERO",10,5,10,5,5,10,9,10,5,5,5,9,5,10,10,10,5,5,10,5,5,5,10,7,10,10,5,12934,"SC",27
"SAO LUIS DO PARAITINGA",8,3,12,3,10,8,8,8,9,3,9,8,10,8,8,8,2,8,8,8,8,10,8,10,10,8,10,10740,"SP",27
"SAO MANUEL",14,15,23,13,23,14,14,14,21,15,21,15,23,14,14,14,9,14,14,14,14,23,14,23,23,14,23,40692,"SP",27
"SAO MIGUEL ARCANJO",11,8,16,8,16,11,11,11,13,8,13,12,16,11,11,11,8,11,11,11,11,16,11,14,16,11,16,32910,"SP",27
"SAO MIGUEL DO IGUACU",4,4,4,4,4,4,4,4,4,5,4,4,6,4,6,4,4,4,4,5,4,4,4,4,4,4,4,27461,"PR",27
"SAO PAULO",49,46,51,46,51,49,48,49,53,47,51,48,50,48,47,48,47,49,49,49,48,51,49,51,51,48,51,12106920,"SP",27
"SAO SEBASTIAO DA GRAMA",6,5,6,5,5,6,6,6,5,5,5,6,5,5,6,5,5,6,5,6,6,5,6,6,6,5,5,12317,"SP",27
"SAO SEBASTIAO DO RIO VERDE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2249,"MG",27
"SAO SIMAO",5,5,6,6,6,6,5,5,5,5,5,7,5,5,6,6,6,6,6,5,5,6,5,5,9,5,6,15225,"SP",27
"SAPEZAL",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24305,"MT",27
"SAPOPEMA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6905,"PR",27
"SARUTAIA",6,3,9,4,10,10,10,8,6,2,6,6,8,4,4,10,4,8,10,10,10,10,10,8,8,10,10,3681,"SP",27
"SAUDADE DO IGUACU",4,3,2,2,2,4,4,6,2,2,2,4,2,4,4,4,2,2,2,2,2,2,4,2,4,4,2,5448,"PR",27
"SEBASTIANOPOLIS DO SUL",18,12,15,9,17,15,15,20,16,12,16,18,20,18,18,15,9,15,15,15,15,17,11,20,20,13,17,3411,"SP",27
"SELVIRIA",10,11,11,11,10,10,10,10,11,11,11,9,11,10,10,10,11,10,11,10,10,11,10,11,11,10,11,6482,"MS",27
"SENADOR CANEDO",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,105459,"GO",27
"SERRA",17,17,16,16,16,16,16,17,17,3,12,16,17,12,17,15,16,16,15,16,16,16,15,5,17,17,16,502618,"ES",27
"SERRA ALTA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3301,"SC",27
"SERRA NEGRA",3,1,2,1,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,28742,"SP",27
"SERRANOPOLIS DO IGUACU",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,4637,"PR",27
"SERTAOZINHO",6,6,6,3,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5044,"PB",27
"SEVERINIA",14,9,10,9,9,9,12,9,9,9,9,20,8,9,9,11,9,12,12,9,9,21,9,9,30,21,9,17115,"SP",27
"SIDROLANDIA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54575,"MS",27
"SINOP",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,135874,"MT",27
"SOCORRO",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40220,"SP",27
"SOROCABA",9,9,12,8,8,8,8,9,9,10,10,9,9,10,10,11,8,8,9,8,8,9,11,9,10,9,8,659871,"SP",27
"SORRISO",25,16,16,16,16,25,16,25,16,16,16,16,16,24,25,25,25,16,25,25,25,25,20,25,25,25,16,85223,"MT",27
"SUD MENNUCCI",10,8,14,8,14,10,10,10,11,7,11,10,14,10,10,10,6,10,10,10,10,14,10,14,14,10,14,7733,"SP",27
"SUMARE",33,29,32,29,28,32,33,34,30,29,29,33,29,33,33,32,28,32,28,32,32,28,32,34,34,32,28,273007,"SP",27
"SUMIDOURO",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15191,"RJ",27
"SUZANAPOLIS",13,7,13,7,7,13,13,13,6,7,6,12,7,13,13,13,7,13,7,13,13,7,13,13,13,13,7,3836,"SP",27
"SUZANO",12,11,15,11,18,12,12,12,17,10,17,12,18,14,11,14,7,12,13,12,13,18,13,18,20,12,17,290769,"SP",27
"TABAPORA",1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,9309,"MT",27
"TABAPUA",11,14,11,11,13,15,14,19,14,11,13,15,12,19,14,15,11,13,11,12,18,12,24,26,20,15,11,12251,"SP",27
"TABOAO DA SERRA",6,6,6,6,6,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,279634,"SP",27
"TAIUVA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,5603,"SP",27
"TAMBAU",16,16,18,16,17,16,16,16,18,16,16,20,16,16,16,16,16,16,16,16,16,20,16,16,20,20,16,23267,"SP",27
"TANGARA DA SERRA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,98828,"MT",27
"TAPIRATIBA",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,6,6,8,13062,"SP",27
"TAPURAH",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12967,"MT",27
"TAQUARAL",15,16,16,16,16,16,15,16,16,16,15,15,15,15,15,15,16,15,15,15,15,16,15,15,16,15,16,2823,"SP",27
"TAQUARITINGA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56951,"SP",27
"TAQUARIVAI",7,10,18,11,12,2,5,5,6,10,7,8,10,8,2,6,3,6,4,3,3,12,3,3,10,9,12,5715,"SP",27
"TATUI",11,9,11,9,13,9,10,10,12,9,12,10,13,9,9,10,7,9,9,9,9,13,9,13,14,9,13,118939,"SP",27
"TAUBATE",14,7,21,7,18,13,13,14,12,7,12,14,19,15,12,14,6,13,12,13,13,17,13,16,20,14,18,307953,"SP",27
"TAVARES",4,4,4,2,4,4,4,6,4,2,2,4,4,6,6,4,2,6,4,6,6,2,4,4,4,6,2,14661,"PB",27
"TEIXEIRA SOARES",5,7,6,1,6,6,4,5,2,7,6,6,5,3,4,4,6,6,6,6,6,6,4,7,6,5,6,11834,"PR",27
"TERRA ROXA",2,1,5,2,5,2,2,2,5,2,5,2,5,1,2,2,2,2,2,2,2,5,2,4,5,2,5,9227,"SP",27
"TIETE",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41022,"SP",27
"TIMBE DO SUL",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5377,"SC",27
"TIMBO GRANDE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7767,"SC",27
"TORRE DE PEDRA",5,5,6,5,6,6,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,2395,"SP",27
"TORRINHA",10,4,9,4,9,10,8,10,7,4,6,10,10,8,8,10,4,10,8,8,8,8,8,8,10,10,9,9934,"SP",27
"TRAJANO DE MORAES",7,5,7,5,5,9,9,7,5,5,5,7,5,9,7,9,5,5,5,5,5,5,9,5,9,7,5,10352,"RJ",27
"TRES BARRAS",3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19146,"SC",27
"TRES FRONTEIRAS",3,3,6,3,5,5,5,5,3,3,3,5,5,5,5,5,2,3,4,3,3,5,4,5,9,5,5,5767,"SP",27
"TRES LAGOAS",36,36,36,36,36,37,37,37,36,36,32,37,37,34,37,37,37,37,37,37,37,35,37,36,35,37,35,117477,"MS",27
"TRES PONTAS",22,16,18,16,15,21,21,22,12,16,12,21,16,21,22,22,16,17,17,16,16,16,19,20,22,22,16,57097,"MG",27
"TREZE TILIAS",5,4,4,4,4,5,5,5,4,4,4,5,4,5,5,5,4,4,4,4,4,4,5,1,8,5,4,7545,"SC",27
"TROMBUDO CENTRAL",1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,7211,"SC",27
"TUBARAO",2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,104457,"SC",27
"TUMIRITINGA",2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,6739,"MG",27
"TUNAPOLIS",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4597,"SC",27
"TURIUBA",5,9,9,9,7,5,5,5,9,9,10,5,7,5,5,5,8,5,5,5,5,7,5,7,7,4,7,2016,"SP",27
"TURMALINA",8,5,10,6,12,8,8,8,8,5,8,8,12,7,8,9,4,8,8,8,8,12,8,12,12,8,12,19762,"MG",27
"TURVO",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13640,"PR",27
"UBERABA",88,66,88,66,66,88,88,88,85,65,85,88,85,79,88,87,65,85,67,86,85,66,90,87,88,88,66,328272,"MG",27
"UBERLANDIA",8,5,6,5,5,9,9,9,4,4,4,7,5,6,6,9,5,4,4,4,4,4,9,4,9,9,4,676613,"MG",27
"UBIRAJARA",2,1,3,1,3,2,2,2,3,1,3,2,3,2,2,2,1,2,2,2,2,3,2,3,3,2,3,4734,"SP",27
"UBIRATA",6,3,3,3,4,6,7,6,4,3,3,6,3,3,6,6,3,2,3,2,3,4,4,3,6,6,4,21762,"PR",27
"UNAI",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,83980,"MG",27
"URANIA",5,1,5,1,6,5,6,5,5,1,5,5,6,5,5,6,1,6,6,5,5,5,5,6,6,6,6,9148,"SP",27
"URUPEMA",8,5,8,5,5,8,8,8,5,5,5,8,5,8,8,8,5,5,8,5,5,5,8,8,8,8,5,2487,"SC",27
"VALENTIM GENTIL",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12800,"SP",27
"VALINHOS",15,15,15,14,14,14,14,14,16,14,14,15,14,14,14,14,14,16,14,14,14,14,15,14,14,16,14,124024,"SP",27
"VARGEM GRANDE DO SUL",12,17,17,16,11,11,12,12,17,17,12,17,12,14,9,9,10,12,16,11,16,16,12,16,17,14,16,42310,"SP",27
"VARGEM GRANDE PAULISTA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50346,"SP",27
"VARZEA PAULISTA",2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,118917,"SP",27
"VERA CRUZ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12371,"RN",27
"VERA CRUZ DO OESTE",3,2,1,2,2,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,3,3,2,8918,"PR",27
"VERE",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7692,"PR",27
"VICENTINA",1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,6041,"MS",27
"VIDEIRA",2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,52066,"SC",27
"VINHEDO",7,3,4,3,3,3,6,6,3,3,6,7,3,7,6,7,3,3,6,6,6,4,6,6,6,7,3,75129,"SP",27
"VIRADOURO",5,4,5,4,4,5,4,5,2,3,4,5,3,5,5,2,4,4,4,4,4,4,5,5,5,4,4,18654,"SP",27
"VIRMOND",6,3,2,2,2,4,4,6,3,3,3,6,3,6,6,4,2,3,2,2,2,2,4,3,6,6,2,4095,"PR",27
"VISTA ALEGRE DO ALTO",11,8,9,10,11,11,11,10,8,11,8,11,11,11,11,11,11,11,11,8,11,11,10,8,11,11,11,8335,"SP",27
"VITORIA BRASIL",4,3,5,3,6,4,4,4,4,3,5,4,5,5,4,4,2,4,4,4,4,6,4,6,6,4,6,1833,"SP",27
"VOTUPORANGA",20,30,30,30,20,20,20,20,30,30,28,35,20,20,20,20,20,20,20,20,20,30,20,35,33,35,30,92768,"SP",27
"XAMBIOA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11683,"TO",27
"ZACARIAS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2636,"SP",27
"ALFREDO MARCONDES",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4135,"SP",26
"BALNEARIO PICARRAS",8,4,8,4,4,8,4,8,1,0,4,8,1,8,8,8,4,4,4,4,4,4,4,8,8,8,4,21884,"SC",26
"BOCAIUVA DO SUL",6,5,5,2,5,6,6,2,2,5,5,5,4,2,2,4,5,3,5,5,3,5,0,3,6,4,5,12477,"PR",26
"CONSOLACAO",2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,0,2,2,1,2,2,2,2,1,1810,"MG",26
"GUAPOREMA",1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2292,"PR",26
"IBATIBA",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,25882,"ES",26
"INDAIAL",6,3,6,3,3,6,3,6,3,0,3,6,1,6,6,6,3,3,3,3,3,3,3,6,6,6,3,66497,"SC",26
"ITUVERAVA",2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,1,2,41414,"SP",26
"JAPURA",4,3,2,0,7,7,6,4,2,3,3,5,6,7,6,4,2,7,7,7,6,11,7,3,6,6,7,4205,"AM",26
"JARDIM",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27076,"CE",26
"JUMIRIM",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3237,"SP",26
"JURANDA",2,2,2,3,2,2,2,0,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,7650,"PR",26
"NEVES PAULISTA",13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8999,"SP",26
"NOVA AMERICA DA COLINA",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3545,"PR",26
"PRESIDENTE VENCESLAU",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,39544,"SP",26
"REDENCAO DA SERRA",2,1,0,1,3,2,2,2,3,1,3,2,3,2,2,2,1,2,2,2,2,3,2,3,3,2,3,3908,"SP",26
"RIO DAS PEDRAS",8,4,8,4,4,8,8,8,3,5,4,8,0,8,8,8,4,4,8,4,4,4,8,3,8,8,4,33935,"SP",26
"SALTO DO ITARARE",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5158,"PR",26
"SAO JOAO DO ITAPERIU",9,5,9,5,6,9,8,9,2,0,7,9,2,9,9,9,6,8,5,8,8,6,7,9,9,9,6,3690,"SC",26
"SIRIRI",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8851,"SE",26
"TREMEMBE",1,2,6,2,4,1,1,1,5,2,5,1,4,1,1,1,2,1,1,1,1,4,1,0,4,1,4,45904,"SP",26
"BARRA BONITA",4,1,4,1,2,1,4,1,4,1,3,4,1,4,0,3,2,4,4,2,2,1,2,0,4,3,1,36331,"SP",25
"BEBEDOURO",4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,77761,"SP",25
"CEDRAL",3,2,7,5,1,1,1,3,0,0,2,7,5,3,2,1,5,1,1,1,3,5,1,3,7,5,1,10490,"MA",25
"COCAL DO SUL",3,2,4,1,1,4,2,5,1,1,1,6,1,2,5,3,1,1,2,1,1,0,2,6,4,3,0,16446,"SC",25
"ITANHAEM",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98629,"SP",25
"MACARANI",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19110,"BA",25
"ROMELANDIA",2,1,1,1,1,2,2,2,1,1,1,2,1,1,0,0,1,1,1,1,1,1,2,2,1,1,2,5022,"SC",25
"SUL BRASIL",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2551,"SC",25
"TAIO",4,2,2,1,1,2,2,4,2,2,2,5,2,4,4,0,1,1,1,1,1,1,2,2,2,0,1,18261,"SC",25
"BANDEIRANTE",2,1,1,1,1,3,3,2,1,1,1,2,1,1,0,0,1,1,1,1,1,1,3,1,1,0,1,2751,"SC",24
"BENEDITO NOVO",4,2,4,2,3,4,3,4,0,0,2,6,0,6,4,4,2,3,3,3,3,3,3,4,4,4,3,11425,"SC",24
"CAMPO ERE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,8787,"SC",24
"DOUTOR PEDRINHO",2,1,2,1,1,2,1,2,0,0,1,2,0,2,2,2,1,1,1,1,1,1,1,2,2,2,1,4043,"SC",24
"FAZENDA RIO GRANDE",2,3,3,0,3,8,2,8,1,3,3,5,0,0,4,4,3,3,3,3,3,3,6,3,4,5,3,95225,"PR",24
"GALILEIA",2,2,2,1,1,2,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2,7034,"MG",24
"GUARATUBA",3,2,2,2,2,3,3,0,2,2,2,3,2,0,1,1,2,2,2,2,2,2,0,2,3,1,2,35986,"PR",24
"LAMBARI D'OESTE",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,5887,"MT",24
"MANDIRITUBA",5,3,3,0,3,5,5,5,0,3,3,5,1,0,5,5,3,3,3,3,3,3,5,3,5,5,2,25662,"PR",24
