"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
290450,0,0,0,3,0,0,0,0,3,3,10974,"BA","Brotas de Macaúbas"
290460,0,0,0,12,0,0,0,0,12,12,69677,"BA","Brumado"
290480,0,0,0,2,0,0,0,0,2,2,7841,"BA","Caatiba"
290485,0,0,0,12,0,0,0,0,12,12,19312,"BA","Cabaceiras do Paraguaçu"
290490,0,0,0,16,0,0,0,0,16,16,35139,"BA","Cachoeira"
290500,0,0,0,1,0,0,0,0,1,1,23817,"BA","Caculé"
290515,0,0,0,2,0,0,0,0,2,2,16106,"BA","Caetanos"
290520,0,0,0,4,0,0,0,0,4,4,52853,"BA","Caetité"
290540,0,0,0,3,0,0,0,0,3,3,18224,"BA","Cairu"
290560,0,0,0,9,0,0,0,0,9,9,33310,"BA","Camacan"
290570,0,0,0,25,0,0,3,0,28,42,296893,"BA","Camaçari"
290580,0,0,0,4,0,0,0,0,4,4,36644,"BA","Camamu"
290600,0,0,0,3,0,0,0,0,3,3,73448,"BA","Campo Formoso"
290630,0,0,0,3,0,0,0,0,3,3,33002,"BA","Canavieiras"
290650,0,0,0,10,0,0,0,0,10,11,89707,"BA","Candeias"
290670,0,0,0,2,0,0,0,0,2,2,26674,"BA","Cândido Sales"
290685,0,0,0,2,0,0,0,0,2,2,12199,"BA","Capela do Alto Alegre"
290687,0,0,0,4,0,0,0,0,4,4,31392,"BA","Capim Grosso"
290689,0,0,0,3,0,0,0,0,3,3,9773,"BA","Caraíbas"
290690,0,0,0,6,0,0,0,0,6,6,22740,"BA","Caravelas"
290700,0,0,0,5,0,0,0,0,5,5,9544,"BA","Cardeal da Silva"
290770,0,0,0,1,0,0,0,0,1,1,11591,"BA","Chorrochó"
290780,0,0,0,4,0,0,0,0,4,4,34676,"BA","Cícero Dantas"
290790,0,0,0,4,0,0,0,0,4,4,17739,"BA","Cipó"
290800,0,0,0,3,0,0,0,0,3,3,19022,"BA","Coaraci"
290820,0,0,0,1,0,0,0,0,1,1,23024,"BA","Conceição da Feira"
290860,0,0,0,5,0,0,0,0,5,5,26371,"BA","Conde"
290870,0,0,0,1,0,0,0,0,1,1,18191,"BA","Condeúba"
290880,0,0,0,2,0,0,0,0,2,2,4299,"BA","Contendas do Sincorá"
290940,0,0,0,2,0,0,0,0,2,2,14414,"BA","Cotegipe"
290950,0,0,0,4,0,0,0,0,4,4,5576,"BA","Cravolândia"
290960,0,0,0,2,0,0,0,0,2,2,21835,"BA","Crisópolis"
290970,0,0,0,2,0,0,0,0,2,2,14403,"BA","Cristópolis"
291000,0,0,0,4,0,0,0,0,4,4,11716,"BA","Dário Meira"
291005,0,0,0,32,0,0,0,0,32,40,80657,"BA","Dias d'Ávila"
291030,0,0,0,4,0,0,0,0,4,4,8461,"BA","Elísio Medrado"
291040,0,0,0,2,0,0,0,0,2,2,19376,"BA","Encruzilhada"
291050,0,0,0,9,0,0,0,0,9,9,43223,"BA","Entre Rios"
291060,0,0,0,5,0,0,0,0,5,5,37845,"BA","Esplanada"
291070,0,0,0,4,0,0,0,0,4,4,61924,"BA","Euclides da Cunha"
291072,0,0,0,2,0,0,0,0,2,2,115290,"BA","Eunápolis"
291075,0,0,0,2,0,0,0,0,2,2,18443,"BA","Fátima"
291080,0,0,0,1,0,0,0,0,1,1,627477,"BA","Feira de Santana"
