"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","population","stateLettersCode","municipalityName"
230250,0,0,0,0,0,0,0,0,0,2,48830,"CE","Brejo Santo"
230260,0,0,0,0,0,0,0,0,0,4,62985,"CE","Camocim"
230270,0,0,0,0,0,0,0,0,0,2,27209,"CE","Campos Sales"
230280,0,0,0,0,0,0,0,0,0,5,77514,"CE","Canindé"
230290,0,0,0,0,0,0,0,0,0,5,17668,"CE","Capistrano"
230300,0,0,0,0,0,0,0,0,0,5,22320,"CE","Caridade"
230310,0,0,0,0,0,0,0,0,0,4,18660,"CE","Cariré"
230320,0,0,0,0,0,0,0,0,0,4,26892,"CE","Caririaçu"
230330,0,0,0,0,0,0,0,0,0,4,18804,"CE","Cariús"
230340,0,0,0,0,0,0,0,0,0,4,17631,"CE","Carnaubal"
230350,0,0,0,0,0,0,0,0,0,4,71079,"CE","Cascavel"
230360,0,0,0,0,0,0,0,0,0,4,20451,"CE","Catarina"
230365,0,0,0,0,0,0,0,0,0,3,10365,"CE","Catunda"
230370,0,0,0,0,0,0,0,0,0,5,362223,"CE","Caucaia"
230380,0,0,0,0,0,0,0,0,0,4,25063,"CE","Cedro"
230390,0,0,0,0,0,0,0,0,0,4,12952,"CE","Chaval"
230393,0,0,0,0,0,0,0,0,0,4,13384,"CE","Choró"
230395,0,0,0,0,0,0,0,0,0,5,19197,"CE","Chorozinho"
230400,0,0,0,0,0,0,0,0,0,2,23107,"CE","Coreaú"
230410,0,0,0,0,0,0,0,0,0,5,74426,"CE","Crateús"
230420,0,0,0,0,0,0,0,0,0,4,130604,"CE","Crato"
230423,0,0,0,0,0,0,0,0,0,5,17874,"CE","Croatá"
230425,0,0,0,0,0,0,0,0,0,5,23983,"CE","Cruz"
230426,0,0,0,0,0,0,0,0,0,4,9521,"CE","Deputado Irapuan Pinheiro"
230427,0,0,0,0,0,0,0,0,0,3,7163,"CE","Ererê"
230428,0,0,0,0,0,0,0,0,0,6,52667,"CE","Eusébio"
230430,0,0,0,0,0,0,0,0,0,4,18720,"CE","Farias Brito"
230435,0,0,0,0,0,0,0,0,0,4,24047,"CE","Forquilha"
230440,0,0,0,0,0,0,0,0,0,5,2627482,"CE","Fortaleza"
230445,0,0,0,0,0,0,0,0,0,4,16272,"CE","Fortim"
230450,0,0,0,0,0,0,0,0,0,3,13669,"CE","Frecheirinha"
230460,0,0,0,0,0,0,0,0,0,3,6922,"CE","General Sampaio"
230465,0,0,0,0,0,0,0,0,0,3,15307,"CE","Graça"
230470,0,0,0,0,0,0,0,0,0,5,54365,"CE","Granja"
230480,0,0,0,0,0,0,0,0,0,3,4425,"CE","Granjeiro"
230490,0,0,0,0,0,0,0,0,0,3,11012,"CE","Groaíras"
230495,0,0,0,0,0,0,0,0,0,4,26331,"CE","Guaiúba"
230500,0,0,0,0,0,0,0,0,0,5,39445,"CE","Guaraciaba do Norte"
230510,0,0,0,0,0,0,0,0,0,5,3547,"CE","Guaramiranga"
230520,0,0,0,0,0,0,0,0,0,3,20215,"CE","Hidrolândia"
230523,0,0,0,0,0,0,0,0,0,5,65928,"CE","Horizonte"
230526,0,0,0,0,0,0,0,0,0,4,13218,"CE","Ibaretama"
230530,0,0,0,0,0,0,0,0,0,3,24825,"CE","Ibiapina"
230533,0,0,0,0,0,0,0,0,0,5,12350,"CE","Ibicuitinga"
230535,0,0,0,0,0,0,0,0,0,9,19685,"CE","Icapuí"
230540,0,0,0,0,0,0,0,0,0,5,67486,"CE","Icó"
230550,0,0,0,0,0,0,0,0,0,4,102614,"CE","Iguatu"
230560,0,0,0,0,0,0,0,0,0,3,25967,"CE","Independência"
230565,0,0,0,0,0,0,0,0,0,5,11499,"CE","Ipaporanga"
230570,0,0,0,0,0,0,0,0,0,2,12349,"CE","Ipaumirim"
230580,0,0,0,0,0,0,0,0,0,3,41576,"CE","Ipu"
230590,0,0,0,0,0,0,0,0,0,2,37896,"CE","Ipueiras"
230600,0,0,0,0,0,0,0,0,0,3,14125,"CE","Iracema"
230610,0,0,0,0,0,0,0,0,0,3,23858,"CE","Irauçuba"
230620,0,0,0,0,0,0,0,0,0,2,7738,"CE","Itaiçaba"
230625,0,0,0,0,0,0,0,0,0,5,39310,"CE","Itaitinga"
