ibgeCode,>2ppb,=2ppb,1ppb<x<2ppb,=1ppb,0.1ppb<x<1ppb,=0.1ppb,0ppb<x<0.1ppb,=0ppb,all Detections,all Measurements,Population,UF,name
230180,1,0,0,0,0,0,0,0,1,1,6228,CE,Baixio
230185,1,0,0,0,0,0,0,0,1,1,18027,CE,Banabuiú
230190,1,0,0,0,0,0,0,0,1,1,59811,CE,Barbalha
230195,1,0,0,0,0,0,0,0,1,1,20978,CE,Barreira
230200,1,0,0,0,0,0,0,0,1,1,22440,CE,Barro
230205,1,0,0,0,0,0,0,0,1,1,14880,CE,Barroquinha
230210,1,0,0,0,0,0,0,0,1,1,35351,CE,Baturité
230220,1,0,0,0,0,0,0,0,1,1,53110,CE,Beberibe
230230,1,0,0,0,0,0,0,0,1,1,32378,CE,Bela Cruz
230240,1,0,0,0,0,0,0,0,1,1,54049,CE,Boa Viagem
230250,1,0,0,0,0,0,0,0,1,1,48830,CE,Brejo Santo
230260,1,0,0,0,0,0,0,0,1,1,62985,CE,Camocim
230270,1,0,0,0,0,0,0,0,1,1,27209,CE,Campos Sales
230280,1,0,0,0,0,0,0,0,1,1,77514,CE,Canindé
230290,1,0,0,0,0,0,0,0,1,1,17668,CE,Capistrano
230300,1,0,0,0,0,0,0,0,1,1,22320,CE,Caridade
230310,1,0,0,0,0,0,0,0,1,1,18660,CE,Cariré
230320,1,0,0,0,0,0,0,0,1,1,26892,CE,Caririaçu
230330,1,0,0,0,0,0,0,0,1,1,18804,CE,Cariús
230340,1,0,0,0,0,0,0,0,1,1,17631,CE,Carnaubal
230350,1,0,0,0,0,0,0,0,1,1,71079,CE,Cascavel
230360,1,0,0,0,0,0,0,0,1,1,20451,CE,Catarina
230365,1,0,0,0,0,0,0,0,1,1,10365,CE,Catunda
230370,1,0,0,0,0,0,0,0,1,1,362223,CE,Caucaia
230380,1,0,0,0,0,0,0,0,1,1,25063,CE,Cedro
230390,1,0,0,0,0,0,0,0,1,1,12952,CE,Chaval
230393,1,0,0,0,0,0,0,0,1,1,13384,CE,Choró
230395,1,0,0,0,0,0,0,0,1,1,19197,CE,Chorozinho
230400,1,0,0,0,0,0,0,0,1,1,23107,CE,Coreaú
230410,1,0,0,0,0,0,0,0,1,1,74426,CE,Crateús
230420,1,0,0,0,0,0,0,0,1,1,130604,CE,Crato
230423,1,0,0,0,0,0,0,0,1,1,17874,CE,Croatá
230425,1,0,0,0,0,0,0,0,1,1,23983,CE,Cruz
230426,1,0,0,0,0,0,0,0,1,1,9521,CE,Deputado Irapuan Pinheiro
230427,1,0,0,0,0,0,0,0,1,1,7163,CE,Ererê
230428,1,0,0,0,0,0,0,0,1,1,52667,CE,Eusébio
230430,1,0,0,0,0,0,0,0,1,1,18720,CE,Farias Brito
230435,1,0,0,0,0,0,0,0,1,1,24047,CE,Forquilha
230440,1,0,0,0,0,0,0,0,1,1,2627482,CE,Fortaleza
230445,1,0,0,0,0,0,0,0,1,1,16272,CE,Fortim
230450,1,0,0,0,0,0,0,0,1,1,13669,CE,Frecheirinha
230460,1,0,0,0,0,0,0,0,1,1,6922,CE,General Sampaio
230465,1,0,0,0,0,0,0,0,1,1,15307,CE,Graça
230470,1,0,0,0,0,0,0,0,1,1,54365,CE,Granja
230480,1,0,0,0,0,0,0,0,1,1,4425,CE,Granjeiro
230490,1,0,0,0,0,0,0,0,1,1,11012,CE,Groaíras
230495,1,0,0,0,0,0,0,0,1,1,26331,CE,Guaiúba
230500,1,0,0,0,0,0,0,0,1,1,39445,CE,Guaraciaba do Norte
230510,1,0,0,0,0,0,0,0,1,1,3547,CE,Guaramiranga
230520,1,0,0,0,0,0,0,0,1,1,20215,CE,Hidrolândia
230523,1,0,0,0,0,0,0,0,1,1,65928,CE,Horizonte
230526,1,0,0,0,0,0,0,0,1,1,13218,CE,Ibaretama
230530,1,0,0,0,0,0,0,0,1,1,24825,CE,Ibiapina
230533,1,0,0,0,0,0,0,0,1,1,12350,CE,Ibicuitinga
230535,1,0,0,0,0,0,0,0,1,1,19685,CE,Icapuí
230540,1,0,0,0,0,0,0,0,1,1,67486,CE,Icó
230550,1,0,0,0,0,0,0,0,1,1,102614,CE,Iguatu
230560,1,0,0,0,0,0,0,0,1,1,25967,CE,Independência
230565,1,0,0,0,0,0,0,0,1,1,11499,CE,Ipaporanga
230570,1,0,0,0,0,0,0,0,1,1,12349,CE,Ipaumirim
230580,1,0,0,0,0,0,0,0,1,1,41576,CE,Ipu
230590,1,0,0,0,0,0,0,0,1,1,37896,CE,Ipueiras
230600,1,0,0,0,0,0,0,0,1,1,14125,CE,Iracema
230610,1,0,0,0,0,0,0,0,1,1,23858,CE,Irauçuba
230620,1,0,0,0,0,0,0,0,1,1,7738,CE,Itaiçaba
230625,1,0,0,0,0,0,0,0,1,1,39310,CE,Itaitinga
230630,1,0,0,0,0,0,0,0,1,1,51945,CE,Itapajé
230640,1,0,0,0,0,0,0,0,1,1,127465,CE,Itapipoca
230650,1,0,0,0,0,0,0,0,1,1,20014,CE,Itapiúna
230655,1,0,0,0,0,0,0,0,1,1,41230,CE,Itarema
230660,1,0,0,0,0,0,0,0,1,1,20675,CE,Itatira
230670,1,0,0,0,0,0,0,0,1,1,17958,CE,Jaguaretama
230680,1,0,0,0,0,0,0,0,1,1,11295,CE,Jaguaribara
230690,1,0,0,0,0,0,0,0,1,1,34448,CE,Jaguaribe
230700,1,0,0,0,0,0,0,0,1,1,33740,CE,Jaguaruana
230710,1,0,0,0,0,0,0,0,1,1,27076,CE,Jardim
230720,1,0,0,0,0,0,0,0,1,1,7847,CE,Jati
230725,1,0,0,0,0,0,0,0,1,1,19510,CE,Jijoca de Jericoacoara
230730,1,0,0,0,0,0,0,0,1,1,270383,CE,Juazeiro do Norte
