"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF","name"
171870,0,0,0,0,0,0,0,1,1,1,2810,"TO","Rio dos Bois"
171875,0,0,0,0,0,0,0,1,1,1,6512,"TO","Rio Sono"
171884,0,0,0,0,0,0,0,1,1,1,3410,"TO","Sandolândia"
171888,0,0,0,0,0,0,0,1,1,1,3356,"TO","Santa Maria do Tocantins"
171889,0,0,0,0,0,0,0,1,1,1,2343,"TO","Santa Rita do Tocantins"
171890,0,0,0,0,0,0,0,1,1,1,4833,"TO","Santa Rosa do Tocantins"
171900,0,0,0,0,0,0,0,1,1,1,2825,"TO","Santa Tereza do Tocantins"
172000,0,0,0,0,0,0,0,1,1,1,2550,"TO","Santa Terezinha do Tocantins"
172015,0,0,0,0,0,0,0,1,1,1,1571,"TO","São Félix do Tocantins"
172020,0,0,0,0,0,0,0,1,1,1,11906,"TO","São Miguel do Tocantins"
172025,0,0,0,0,0,0,0,1,1,1,3084,"TO","São Salvador do Tocantins"
172030,0,0,0,0,0,0,0,1,1,1,4749,"TO","São Sebastião do Tocantins"
172049,0,0,0,0,0,0,0,1,1,1,4111,"TO","São Valério"
172065,0,0,0,0,0,0,0,1,1,1,5399,"TO","Silvanópolis"
172085,0,0,0,0,0,0,0,1,1,1,1941,"TO","Sucupira"
172090,0,0,0,0,0,0,0,1,1,1,16530,"TO","Taguatinga"
172093,0,0,1,0,0,0,0,0,1,1,2130,"TO","Taipas do Tocantins"
172100,0,0,0,0,0,0,0,1,1,1,286787,"TO","Palmas"
172110,0,0,0,0,0,0,0,1,1,1,7460,"TO","Tocantínia"
172120,0,0,0,0,0,0,0,1,1,1,23119,"TO","Tocantinópolis"
172125,0,0,0,0,0,0,0,1,1,1,1843,"TO","Tupirama"
172130,0,0,0,0,0,0,0,1,1,1,2574,"TO","Tupiratins"
172208,0,0,0,0,0,0,0,1,1,1,11677,"TO","Wanderlândia"
172210,0,1,0,0,0,0,0,0,1,1,11683,"TO","Xambioá"
210820,0,0,0,0,0,0,0,1,1,1,38365,"MA","Pedreiras"
230410,0,0,0,0,0,0,0,1,1,1,74426,"CE","Crateús"
230440,0,0,0,0,0,0,0,1,1,1,2627482,"CE","Fortaleza"
230770,0,0,0,0,0,0,0,1,1,1,126486,"CE","Maranguape"
231180,0,0,0,0,0,0,0,1,1,1,76475,"CE","Russas"
231290,0,0,0,0,0,0,0,1,1,1,205529,"CE","Sobral"
231340,0,0,0,0,0,0,0,1,1,1,74719,"CE","Tianguá"
250010,0,0,0,0,0,0,0,1,1,1,10258,"PB","Água Branca"
250020,0,0,0,0,0,0,0,1,1,1,5562,"PB","Aguiar"
250030,0,0,0,0,0,0,0,1,1,1,28565,"PB","Alagoa Grande"
250060,0,0,0,0,0,0,0,1,1,1,19579,"PB","Alhandra"
250070,0,0,0,0,0,0,0,1,1,1,17940,"PB","São João do Rio do Peixe"
250077,0,0,0,0,0,0,0,1,1,1,8430,"PB","Aparecida"
250080,0,0,0,0,0,0,0,1,1,1,17003,"PB","Araçagi"
250090,0,0,0,0,0,0,0,1,1,1,13538,"PB","Arara"
250110,0,0,0,0,0,0,0,1,1,1,22776,"PB","Areia"
250130,0,0,0,0,0,0,0,1,1,1,19154,"PB","Aroeiras"
250160,0,0,0,0,0,0,0,1,1,1,15421,"PB","Barra de Santa Rosa"
250190,0,0,0,0,0,0,0,1,1,1,17685,"PB","Belém"
250210,0,0,0,0,0,0,0,1,1,1,5349,"PB","Boa Ventura"
250220,0,0,0,0,0,0,0,1,1,1,2567,"PB","Bom Jesus"
250240,0,0,0,0,0,0,0,1,1,1,11938,"PB","Bonito de Santa Fé"
250260,0,0,0,0,0,0,0,1,1,1,6173,"PB","Igaracy"
250280,0,0,0,0,0,0,0,1,1,1,14107,"PB","Brejo do Cruz"
250290,0,0,0,0,0,0,0,1,1,1,6457,"PB","Brejo dos Santos"
250330,0,0,0,0,0,0,0,1,1,1,10265,"PB","Cachoeira dos Índios"
250370,0,0,0,0,0,0,0,1,1,1,62187,"PB","Cajazeiras"
250375,0,0,0,0,0,0,0,1,1,1,3197,"PB","Cajazeirinhas"
250390,0,0,0,0,0,0,0,1,1,1,6020,"PB","Camalaú"
250403,0,0,0,0,0,0,0,1,1,1,6552,"PB","Capim"
250407,0,0,0,0,0,0,0,1,1,1,4171,"PB","Caraúbas"
250410,0,0,0,0,0,0,0,1,1,1,2667,"PB","Carrapateira"
250420,0,0,0,0,0,0,0,1,1,1,4934,"PB","Catingueira"
250430,0,0,0,0,0,0,0,1,1,1,30534,"PB","Catolé do Rocha"
250440,0,0,0,0,0,0,0,1,1,1,18944,"PB","Conceição"
250450,0,0,0,0,0,0,0,1,1,1,6753,"PB","Condado"
250460,0,0,0,0,0,0,0,1,1,1,24769,"PB","Conde"
250470,0,0,0,0,0,0,0,1,1,1,4789,"PB","Congo"
250485,0,0,0,0,0,0,0,1,1,1,1925,"PB","Coxixola"
250490,0,0,0,0,0,0,0,1,1,1,17559,"PB","Cruz do Espírito Santo"
250520,0,0,0,0,0,0,0,1,1,1,6790,"PB","Cuitegi"
250550,0,0,0,0,0,0,0,1,1,1,3808,"PB","Vista Serrana"
250560,0,0,0,0,0,0,0,1,1,1,6550,"PB","Diamante"
250580,0,0,0,0,0,0,0,1,1,1,3594,"PB","Duas Estradas"
250590,0,0,0,0,0,0,0,1,1,1,3528,"PB","Emas"
250610,0,0,0,0,0,0,0,1,1,1,11313,"PB","Fagundes"
250650,0,0,0,0,0,0,0,1,1,1,3436,"PB","Gurjão"
